"status"	"copyright"	"response.docs.web_url"	"response.docs.snippet"	"response.docs.lead_paragraph"	"response.docs.abstract"	"response.docs.print_page"	"response.docs.source"	"response.docs.pub_date"	"response.docs.document_type"	"response.docs.news_desk"	"response.docs.section_name"	"response.docs.subsection_name"	"response.docs.type_of_material"	"response.docs._id"	"response.docs.word_count"	"response.docs.uri"	"response.docs.headline.main"	"response.docs.headline.kicker"	"response.docs.headline.content_kicker"	"response.docs.headline.print_headline"	"response.docs.headline.name"	"response.docs.headline.seo"	"response.docs.headline.sub"	"response.docs.byline.original"	"response.docs.byline.organization"	"response.meta.hits"	"response.meta.offset"	"response.meta.time"
"11"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/07/12/world/europe/undocumented-migrants-pantheon-paris.html"	"The protesters, who called themselves “Black Vests,” occupied the memorial complex for hours as they demanded legal status."	"PARIS — Hundreds of undocumented migrants stormed the Panthéon monument on Friday, demanding that the French government pay more attention to their plight and grant them legal status."	"The protesters, who called themselves “Black Vests,” occupied the memorial complex for hours as they demanded legal status."	"9"	"The New York Times"	"2019-07-12T21:56:53+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/7c974a7b-8dc3-5068-8168-8ddde35712cb"	791	"nyt://article/7c974a7b-8dc3-5068-8168-8ddde35712cb"	"Hundreds of Undocumented Migrants Occupy Panthéon Monument in Paris"	NA	NA	"Migrants Protest at the Panthéon Monument in Paris in a Push for Legal Status"	NA	NA	NA	"By Elian Peltier"	NA	1459	10	63
"12"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/reuters/2019/10/17/world/americas/16reuters-usa-immigration-aid.html"	"The United States on Wednesday restored economic aid to El Salvador, Guatemala and Honduras that had been cut off after the Trump administration complained the three Central American countries had done too little to halt a surge in migration."	"(Reuters) - The United States on Wednesday restored economic aid to El Salvador, Guatemala and Honduras that had been cut off after the Trump administration complained the three Central American countries had done too little to halt a surge in migration."	"The United States on Wednesday restored economic aid to El Salvador, Guatemala and Honduras that had been cut off after the Trump administration complained the three Central American countries had done too little to halt a surge in migration."	NA	"Reuters"	"2019-10-17T05:24:59+0000"	"article"	"None"	"World"	"Americas"	"News"	"nyt://article/00c2dc03-46ae-5158-bec0-a3003d1355ff"	416	"nyt://article/00c2dc03-46ae-5158-bec0-a3003d1355ff"	"U.S. Restores Aid to Central America After Reaching Migration Deals"	NA	NA	"U.S. Restores Aid to Central America After Reaching Migration Deals"	NA	NA	NA	"By Reuters"	"Reuters"	1459	10	63
"13"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/08/02/us/politics/safe-third-guatemala.html"	"State Department officials are irritated that the Department of Homeland Security is meddling in diplomacy and they question whether Guatemala is capable of accepting thousands of asylum seekers."	"WASHINGTON — President Trump struck an agreement last week to require thousands of Central American migrants to seek asylum in Guatemala before coming to the United States. But the White House ceremony to hail what the president called a “landmark” measure — one that could transform the American immigration system — almost did not happen."	"State Department officials are irritated that the Department of Homeland Security is meddling in diplomacy and they question whether Guatemala is capable of accepting thousands of asylum seekers."	"5"	"The New York Times"	"2019-08-02T22:39:58+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/decc0366-1c48-5b2d-88c3-378a6e26dbf6"	1388	"nyt://article/decc0366-1c48-5b2d-88c3-378a6e26dbf6"	"Trump Officials Argued Over Asylum Deal With Guatemala. Now Both Countries Must Make It Work."	NA	NA	"Guatemala Deal Divides Trump’s Cabinet Officials"	NA	NA	NA	"By Michael D. Shear and Zolan Kanno-Youngs"	NA	1459	10	63
"14"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/07/11/us/politics/elizabeth-warren-immigration.html"	"Until Thursday, Ms. Warren had not offered a detailed immigration plan. She would decriminalize border crossings and resettle more refugees per year."	"Senator Elizabeth Warren of Massachusetts offered an immigration proposal on Thursday that would create new protections for migrants, investigate allegations of abuse under the Trump administration and allow far higher numbers of refugees into the country."	"Until Thursday, Ms. Warren had not offered a detailed immigration plan. She would decriminalize border crossings and resettle more refugees per year."	"16"	"The New York Times"	"2019-07-11T16:02:11+0000"	"article"	"Politics"	"U.S."	"Politics"	"News"	"nyt://article/98a566f7-aa23-526b-aabb-80b4c1082d36"	1003	"nyt://article/98a566f7-aa23-526b-aabb-80b4c1082d36"	"Elizabeth Warren’s Immigration Plan Takes Aim at Trump-Era Abuses"	NA	NA	"Warren Outlines Immigration Plan That Takes Aim at Trump-Era Abuses"	NA	NA	NA	"By Matt Stevens"	NA	1459	10	63
"15"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/12/world/americas/asylum-seekers.html"	"The new rule will likely place many more migrants in danger as they debate whether to remain in Mexico as asylum seekers, try their luck in an increasingly hostile United States or return home."	"MEXICO CITY — Thousands of people fleeing persecution, most from Central America, line up at the United States’ southern border every day hoping for asylum. They wait for months, their names slowly crawling up a hand-drawn list until they are allowed to present their case to American immigration authorities."	"The new rule will likely place many more migrants in danger as they debate whether to remain in Mexico as asylum seekers, try their luck in an increasingly hostile United States or return home."	"18"	"The New York Times"	"2019-09-12T22:24:18+0000"	"article"	"Foreign"	"World"	"Americas"	"News"	"nyt://article/b3d23fca-f1c0-5998-bddd-9c146067ecc0"	1446	"nyt://article/b3d23fca-f1c0-5998-bddd-9c146067ecc0"	"‘This Takes Away All Hope’: Rule Bars Most Applicants for Asylum in U.S."	NA	NA	"For Most Asylum Seekers, New Rule Ends ‘All Hope’"	NA	NA	NA	"By Azam Ahmed and Paulina Villegas"	NA	1459	10	63
"16"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/08/20/books/review/a-good-provider-is-one-who-leaves-jason-deparle.html"	"Jason DeParle’s “A Good Provider Is One Who Leaves” is a deeply reported look at global migration centered on the experiences of a single Filipino family over the course of 30 years."	"A GOOD PROVIDER IS ONE WHO LEAVES One Family and Migration in the 21st CenturyBy Jason DeParle"	"Jason DeParle’s “A Good Provider Is One Who Leaves” is a deeply reported look at global migration centered on the experiences of a single Filipino family over the course of 30 years."	"15"	"The New York Times"	"2019-08-20T09:00:10+0000"	"article"	"BookReview"	"Books"	"Book Review"	"Review"	"nyt://article/21bd44b5-ffa2-5f24-b6f5-d79a7ca9fe5a"	1513	"nyt://article/21bd44b5-ffa2-5f24-b6f5-d79a7ca9fe5a"	"When Providing for Your Family Means Leaving It Behind"	"Nonfiction"	NA	"When Home Is Another Country"	NA	NA	NA	"By Laura Wides-Muñoz"	NA	1459	10	63
"17"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/20/us/politics/us-asylum-el-salvador.html"	"An agreement between the United States and El Salvador will prevent migrants from crossing the southwestern border by requiring them to seek protection in El Salvador first."	"WASHINGTON — The Trump administration signed an agreement with the government of El Salvador on Friday that could force Central American migrants traveling through El Salvador to seek refuge in that violent and dangerous country instead of in the United States."	"An agreement between the United States and El Salvador will prevent migrants from crossing the southwestern border by requiring them to seek protection in El Salvador first."	"6"	"The New York Times"	"2019-09-20T16:44:59+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/6d69b7fd-7615-58e7-90f8-94de3e0876da"	1118	"nyt://article/6d69b7fd-7615-58e7-90f8-94de3e0876da"	"U.S. Agreement With El Salvador Seeks to Divert Asylum Seekers"	NA	NA	"Pact With El Salvador Aims to Deter Migrants"	NA	NA	NA	"By Zolan Kanno-Youngs and Elisabeth Malkin"	NA	1459	10	63
"18"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/06/19/us/politics/trump-immigration-deportation-family-separation.html"	"The acting director of Immigration and Customs Enforcement said the focus would be on 2,000 family members who already have deportation orders."	"WASHINGTON — The acting director of the Immigration and Customs Enforcement agency said on Wednesday that he would follow through with plans to send agents into communities to round up and deport undocumented families, in the Trump administration’s latest attempt to deter large-scale migration of Central Americans to the southwest border."	"The acting director of Immigration and Customs Enforcement said the focus would be on 2,000 family members who already have deportation orders."	"16"	"The New York Times"	"2019-06-19T23:14:03+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/87666dda-7cf2-5d72-b1fd-f48c64734663"	908	"nyt://article/87666dda-7cf2-5d72-b1fd-f48c64734663"	"Immigration Agency Says It Plans Deportation Operation Aimed at Undocumented Families"	NA	NA	"About 2,000 Family Members  Are Focus of Deportation Plan"	NA	NA	NA	"By Zolan Kanno-Youngs and Miriam Jordan"	NA	1459	10	63
"19"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/09/26/us/politics/trump-refugees.html"	"The president approved an 18,000-person limit on the number of refugees who can be admitted into the United States in fiscal 2020, about half the current limit of 30,000."	"WASHINGTON — President Trump has decided to slash the American refugee program by almost half, greatly dimming the United States’ role in accepting persecuted refugees from most parts of the world, the State Department announced Thursday."	"The president approved an 18,000-person limit on the number of refugees who can be admitted into the United States in fiscal 2020, about half the current limit of 30,000."	"16"	"The New York Times"	"2019-09-26T21:19:51+0000"	"article"	"Washington"	"U.S."	"Politics"	"News"	"nyt://article/19493427-5830-5a2a-bdc0-7597ea67a6ac"	1002	"nyt://article/19493427-5830-5a2a-bdc0-7597ea67a6ac"	"Trump Slashes Refugee Cap to 18,000, Curtailing U.S. Role as Haven"	NA	NA	"U.S. Cuts Refugee Program Again, Placing Cap at 18,000 People"	NA	NA	NA	"By Michael D. Shear and Zolan Kanno-Youngs"	NA	1459	10	63
"20"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/08/12/world/europe/mediterranean-migrant-ships-italy.html"	"Two rescue vessels carrying more than 500 migrants were in limbo on Monday, without a safe port willing to let them dock."	"More than 500 migrants and refugees afloat in the central Mediterranean were in limbo on Monday, as the two aid ships that had rescued them searched for a safe port that would take them. "	"Two rescue vessels carrying more than 500 migrants were in limbo on Monday, without a safe port willing to let them dock."	"7"	"The New York Times"	"2019-08-12T14:43:07+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/399c8559-644a-54c5-90da-a3c2bba643d9"	991	"nyt://article/399c8559-644a-54c5-90da-a3c2bba643d9"	"Hundreds of Migrants Stranded in Mediterranean in Standoff Over Aid Ships"	NA	NA	"Standoff on Aid Ships Strands Hundreds"	NA	NA	NA	"By Megan Specia"	NA	1459	10	63
"21"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/08/12/world/europe/mediterranean-migrant-ships-italy.html"	"Two rescue vessels carrying more than 500 migrants were in limbo on Monday, without a safe port willing to let them dock."	"More than 500 migrants and refugees afloat in the central Mediterranean were in limbo on Monday, as the two aid ships that had rescued them searched for a safe port that would take them. "	"Two rescue vessels carrying more than 500 migrants were in limbo on Monday, without a safe port willing to let them dock."	"7"	"The New York Times"	"2019-08-12T14:43:07+0000"	"article"	"Foreign"	"World"	"Europe"	"News"	"nyt://article/399c8559-644a-54c5-90da-a3c2bba643d9"	991	"nyt://article/399c8559-644a-54c5-90da-a3c2bba643d9"	"Hundreds of Migrants Stranded in Mediterranean in Standoff Over Aid Ships"	NA	NA	"Standoff on Aid Ships Strands Hundreds"	NA	NA	NA	"By Megan Specia"	NA	1459	20	63
"22"	"OK"	"Copyright (c) 2019 The New York Times Company. All Rights Reserved."	"https://www.nytimes.com/2019/06/10/opinion/trump-mexico-trade-immigration.html"	"The problems in Central America won’t go away, and Mexico will struggle to sustain a crackdown."	"COATZACOALCOS, Mexico — Angelica López crouched beside the train tracks that run through this sweltering city in southern Mexico, cradling her 2-year-old daughter, calling to her 7-year-old son not to stray too far from her. After they were stopped by Mexican federal police officers while trying to board a freight train, they’d slept on the mud, watching out for more police. They hoped to get on the next train north."	"The problems in Central America won’t go away, and Mexico will struggle to sustain a crackdown."	"23"	"The New York Times"	"2019-06-10T10:00:04+0000"	"article"	"OpEd"	"Opinion"	NA	"Op-Ed"	"nyt://article/53e3d78d-fc45-5459-8e17-4b5a71db7ffd"	1097	"nyt://article/53e3d78d-fc45-5459-8e17-4b5a71db7ffd"	"Trump’s Bullying Won’t Fix the Migrant Crisis"	NA	NA	"Bullying Won’t Fix the Migrant Crisis"	NA	NA	NA	"By Ioan Grillo"	NA	1459	20	63
